NAME,total_population,median_household_income,poverty_count,labor_force_count,zcta,poverty_rate,has_sprouts,has_whole_foods
ZCTA5 00601,16834,17526,10440,6058,00601,62.0173458476892,No,No
ZCTA5 00602,37642,20260,17768,12182,00602,47.20259284841401,No,No
ZCTA5 00603,49075,17703,23551,16136,00603,47.98981151299032,No,No
ZCTA5 00606,5590,19603,3021,1449,00606,54.04293381037567,No,No
ZCTA5 00610,25542,22796,11597,9542,00610,45.40364889202099,No,No
ZCTA5 00611,1315,22525,587,565,00611,44.638783269961976,No,No
ZCTA5 00612,63312,22305,27239,22463,00612,43.02343947434926,No,No
ZCTA5 00616,9625,23652,4201,3725,00616,43.64675324675324,No,No
ZCTA5 00617,22573,20328,10418,8219,00617,46.15248305497718,No,No
ZCTA5 00622,7577,22818,3496,2739,00622,46.13963310017157,No,No
ZCTA5 00623,39406,23132,16224,15314,00623,41.171395219002186,No,No
ZCTA5 00624,21648,20101,11130,6976,00624,51.41352549889135,No,No
ZCTA5 00627,32733,23263,13563,11528,00627,41.435248831454494,No,No
ZCTA5 00631,1431,15658,846,429,00631,59.11949685534591,No,No
ZCTA5 00636,1057,-666666666,800,302,00636,75.68590350047305,No,No
ZCTA5 00637,22882,20568,10350,7253,00637,45.23206013460362,No,No
ZCTA5 00638,17605,19796,9664,5195,00638,54.89349616586197,No,No
ZCTA5 00641,24299,17673,12959,8039,00641,53.33141281534219,No,No
ZCTA5 00646,35926,31330,11072,14543,00646,30.818905528029838,No,No
ZCTA5 00647,4702,17143,3176,1253,00647,67.54572522330923,No,No
ZCTA5 00650,13767,20363,6827,5278,00650,49.58959831481078,No,No
ZCTA5 00652,3924,26148,1498,1628,00652,38.17533129459735,No,No
ZCTA5 00653,8980,13777,5795,3096,00653,64.53229398663697,No,No
ZCTA5 00656,18121,21456,9388,5888,00656,51.80729540312344,No,No
ZCTA5 00659,37066,23899,14782,13765,00659,39.880213672907786,No,No
ZCTA5 00660,15483,22556,6367,6004,00660,41.122521475166316,No,No
ZCTA5 00662,40480,20283,19434,12710,00662,48.00889328063241,No,No
ZCTA5 00664,14967,17966,8257,4490,00664,55.16803634662924,No,No
ZCTA5 00667,23370,16889,13087,8407,00667,55.999144201968335,No,No
ZCTA5 00669,27529,18838,15237,9272,00669,55.348904791310986,No,No
ZCTA5 00670,8746,16644,4542,2466,00670,51.93231191401784,No,No
ZCTA5 00674,39385,20088,18002,13453,00674,45.70775676018789,No,No
ZCTA5 00676,36683,20160,17143,13995,00676,46.73281901698335,No,No
ZCTA5 00677,15304,26404,6304,5594,00677,41.19184526921067,No,No
ZCTA5 00678,25039,19558,11494,8465,00678,45.904389152921446,No,No
ZCTA5 00680,43173,16535,22589,14649,00680,52.32205313506127,No,No
ZCTA5 00682,30414,17385,16264,10872,00682,53.47537318340238,No,No
ZCTA5 00683,29547,18132,14181,7876,00683,47.99472027617017,No,No
ZCTA5 00685,40346,17481,21041,13002,00685,52.15139047241362,No,No
ZCTA5 00687,28659,22282,13586,10705,00687,47.405701524826405,No,No
ZCTA5 00688,11478,17273,5987,3881,00688,52.1606551664053,No,No
ZCTA5 00690,5781,23343,2765,1895,00690,47.82909531222972,No,No
ZCTA5 00692,33302,25289,13639,13734,00692,40.95549816827818,No,No
ZCTA5 00693,55570,23791,23966,20935,00693,43.12758682742487,No,No
ZCTA5 00694,98,-666666666,27,14,00694,27.55102040816326,No,No
ZCTA5 00698,33506,19818,14745,11124,00698,44.0070435145944,No,No
ZCTA5 00703,24475,23045,10679,9008,00703,43.63227783452503,No,No
ZCTA5 00704,6831,19845,3521,2320,00704,51.54442980529937,No,No
ZCTA5 00705,24401,22679,10329,8343,00705,42.33023236752592,No,No
ZCTA5 00707,10487,21765,5255,3130,00707,50.109659578525786,No,No
ZCTA5 00714,15797,18496,9102,4364,00714,57.61853516490473,No,No
ZCTA5 00715,2040,16250,1367,402,00715,67.00980392156862,No,No
ZCTA5 00716,27166,20184,13196,8369,00716,48.5754251638077,No,No
ZCTA5 00717,15029,14164,7800,4761,00717,51.89966065606494,No,No
ZCTA5 00718,23289,20414,11155,7579,00718,47.89814934089055,No,No
ZCTA5 00719,29523,20533,14400,9940,00719,48.77553094197744,No,No
ZCTA5 00720,20816,16751,11490,6494,00720,55.19792467332822,No,No
ZCTA5 00723,15978,20967,7705,4968,00723,48.22255601451996,No,No
ZCTA5 00725,77244,25786,31300,31218,00725,40.52094661074,No,No
ZCTA5 00727,53258,33678,16325,23028,00727,30.65267189905742,No,No
ZCTA5 00728,38590,21239,17986,11978,00728,46.6079295154185,No,No
ZCTA5 00729,47826,26978,16792,21118,00729,35.11060929201689,No,No
ZCTA5 00730,32267,17517,16881,10602,00730,52.316608299501034,No,No
ZCTA5 00731,10473,16944,5862,2856,00731,55.972500716127186,No,No
ZCTA5 00735,11164,23125,4613,4134,00735,41.320315299175924,No,No
ZCTA5 00736,45867,27158,17606,16640,00736,38.38489545860859,No,No
ZCTA5 00738,30093,24643,12441,12886,00738,41.341840295085234,No,No
ZCTA5 00739,34678,24887,13847,11831,00739,39.93021512197935,No,No
ZCTA5 00740,2034,18784,1188,839,00740,58.4070796460177,No,No
ZCTA5 00741,3627,23821,1802,1228,00741,49.6829335539013,No,No
ZCTA5 00745,47494,26189,16929,21349,00745,35.64450246346907,No,No
ZCTA5 00751,19570,20241,9706,6212,00751,49.596320899335716,No,No
ZCTA5 00754,36576,19528,16682,12522,00754,45.6091426071741,No,No
ZCTA5 00757,20048,22764,9297,7950,00757,46.37370311252993,No,No
ZCTA5 00765,8199,17062,4433,2389,00765,54.06756921575801,No,No
ZCTA5 00766,22053,22511,9359,7803,00766,42.43867047567225,No,No
ZCTA5 00767,30779,20126,15124,10025,00767,49.13739887585692,No,No
ZCTA5 00769,34374,20236,17218,11764,00769,50.090184441729214,No,No
ZCTA5 00771,34964,23343,13683,12043,00771,39.13453838233612,No,No
ZCTA5 00772,17316,17209,9029,6684,00772,52.14252714252714,No,No
ZCTA5 00773,17716,22585,8011,7282,00773,45.21901106344547,No,No
ZCTA5 00775,1186,25483,278,593,00775,23.440134907251263,No,No
ZCTA5 00777,37726,26052,14168,15466,00777,37.555001855484285,No,No
ZCTA5 00778,40476,39484,12880,19686,00778,31.82132621800573,No,No
ZCTA5 00780,13908,26075,5509,5351,00780,39.61029623238424,No,No
ZCTA5 00782,18639,16221,9934,6522,00782,53.29685068941467,No,No
ZCTA5 00783,34205,21701,15602,12083,00783,45.613214442332996,No,No
ZCTA5 00784,35917,19199,16110,9973,00784,44.853412033298994,No,No
ZCTA5 00786,154,-666666666,87,46,00786,56.493506493506494,No,No
ZCTA5 00791,46537,26002,16880,15268,00791,36.27221350753164,No,No
ZCTA5 00794,28335,21278,14013,10090,00794,49.45473795659079,No,No
ZCTA5 00795,42900,22579,19204,15946,00795,44.764568764568764,No,No
ZCTA5 00901,8220,27926,2243,3153,00901,27.287104622871045,No,No
ZCTA5 00906,148,-666666666,0,115,00906,0.0,No,No
ZCTA5 00907,16607,40293,4338,8391,00907,26.121515023785154,No,No
ZCTA5 00909,5260,25778,2269,2414,00909,43.136882129277566,No,No
ZCTA5 00911,7087,38125,1941,3811,00911,27.388175532665443,No,No
ZCTA5 00912,5955,27026,1924,3177,00912,32.308984047019315,No,No
ZCTA5 00913,7068,6449,5300,2393,00913,74.98585172608941,No,No
ZCTA5 00915,24713,12963,16198,10191,00915,65.5444502893214,No,No
ZCTA5 00917,18544,17086,9318,7670,00917,50.24805867126834,No,No
ZCTA5 00918,15976,35000,4588,7764,00918,28.718077115673513,No,No
ZCTA5 00920,17293,28562,6244,8376,00920,36.10709535650263,No,No
ZCTA5 00921,33555,21419,15093,14552,00921,44.97988377291014,No,No
ZCTA5 00923,24760,18389,12072,10976,00923,48.756058158319874,No,No
ZCTA5 00924,47080,21046,21867,19883,00924,46.446474086661006,No,No
ZCTA5 00925,5556,13016,3028,3007,00925,54.49964002879769,No,No
ZCTA5 00926,93751,38432,24424,42977,00926,26.05198877878636,No,No
ZCTA5 00927,13766,40213,2926,6559,00927,21.255266598866772,No,No
ZCTA5 00934,128,-666666666,0,62,00934,0.0,No,No
ZCTA5 00949,68031,31500,22552,30711,00949,33.14959356763828,No,No
ZCTA5 00950,0,-666666666,0,0,00950,,No,No
ZCTA5 00951,298,21354,156,111,00951,52.348993288590606,No,No
ZCTA5 00952,8168,19392,3634,3344,00952,44.490695396669935,No,No
ZCTA5 00953,66079,32957,20964,28872,00953,31.725661707955627,No,No
ZCTA5 00956,65841,27243,24649,26225,00956,37.43715921690132,No,No
ZCTA5 00957,41009,28240,14438,15898,00957,35.2069058011656,No,No
ZCTA5 00959,47721,31603,15982,20573,00959,33.49049684625218,No,No
ZCTA5 00960,3405,-666666666,39,2,00960,1.145374449339207,No,No
ZCTA5 00961,29271,34141,8352,12742,00961,28.53336066413857,No,No
ZCTA5 00962,19614,18478,10166,6869,00962,51.830325277862755,No,No
ZCTA5 00965,5148,15872,2967,1623,00965,57.634032634032636,No,No
ZCTA5 00966,16451,51732,3204,7160,00966,19.476019694851377,No,No
ZCTA5 00968,3554,55132,336,1550,00968,9.454136184580754,No,No
ZCTA5 00969,41784,55929,8027,19824,00969,19.210702661305763,No,No
ZCTA5 00971,26430,31484,8785,12361,00971,33.238743851683694,No,No
ZCTA5 00976,61638,35661,18764,26997,00976,30.442259645024173,No,No
ZCTA5 00979,16890,34705,3679,8694,00979,21.782119597394907,No,No
ZCTA5 00982,13876,24244,5759,5569,00982,41.50331507639089,No,No
ZCTA5 00983,31816,30595,10608,14260,00983,33.341714860447574,No,No
ZCTA5 00985,32265,33270,9382,13692,00985,29.07794824112816,No,No
ZCTA5 00987,54109,36396,16317,25477,00987,30.155796632722836,No,No
ZCTA5 01001,16045,73398,1110,8444,01001,6.918043004051107,No,No
ZCTA5 01002,22992,74265,4443,12657,01002,19.3241127348643,No,No
ZCTA5 01003,11989,-666666666,3,4115,01003,0.025022937692885144,No,No
ZCTA5 01005,4837,97409,420,2784,01005,8.683068017366136,No,No
ZCTA5 01007,15368,99500,1268,8686,01007,8.250910983862573,No,No
ZCTA5 01008,1231,93405,40,649,01008,3.249390739236393,No,No
ZCTA5 01009,699,68510,106,363,01009,15.164520743919885,No,No
ZCTA5 01010,3699,88438,224,1862,01010,6.055690727223574,No,No
ZCTA5 01011,1318,80640,121,638,01011,9.180576631259484,No,No
ZCTA5 01012,440,73906,41,252,01012,9.318181818181818,No,No
ZCTA5 01013,22895,62000,3926,11942,01013,17.147848875300284,No,No
ZCTA5 01020,30417,67617,4090,15598,01020,13.446427984350857,No,No
ZCTA5 01022,2144,52207,412,1035,01022,19.21641791044776,No,No
ZCTA5 01026,1073,83875,73,528,01026,6.803355079217148,No,No
ZCTA5 01027,17711,69337,1538,9411,01027,8.68386878211281,No,No
ZCTA5 01028,16273,100610,566,8214,01028,3.4781539974190374,No,No
ZCTA5 01029,527,93125,14,289,01029,2.6565464895635675,No,No
ZCTA5 01030,12561,87324,716,7144,01030,5.70018310644057,No,No
ZCTA5 01031,1697,51250,340,820,01031,20.035356511490864,No,No
ZCTA5 01032,484,88077,48,291,01032,9.917355371900827,No,No
ZCTA5 01033,6096,102248,304,3893,01033,4.986876640419948,No,No
ZCTA5 01034,2065,104583,130,1148,01034,6.2953995157385,No,No
ZCTA5 01035,5295,112450,230,2829,01035,4.343720491029273,No,No
ZCTA5 01036,4966,110320,115,2693,01036,2.3157470801449858,No,No
ZCTA5 01037,582,78047,9,220,01037,1.5463917525773196,No,No
ZCTA5 01038,2469,103125,160,1472,01038,6.480356419603078,No,No
